time,rr_interval,lf,hf,lf_hf_ratio,hr,mean_hr,max_hr,min_hr,rmssd,sdnn,breath_rate
94,1011,-1,-1,-1,62.46047575035267,-1,-1,-1,-1,-1,-1
94,1035,-1,-1,-1,58.659097750827854,-1,-1,-1,-1,-1,-1
95,948,-1,-1,-1,60.63107686662998,-1,-1,-1,-1,-1,-1
96,807,-1,-1,-1,68.82029080984424,-1,-1,-1,-1,-1,-1
97,805,-1,-1,-1,74.4418019349327,-1,-1,-1,-1,-1,-1
98,770,-1,-1,-1,76.22811970638057,-1,-1,-1,-1,-1,-1
99,725,-1,-1,-1,80.34034930586654,-1,-1,-1,-1,-1,-1
100,773,-1,-1,-1,80.18914216888967,-1,-1,-1,-1,-1,-1
101,962,-1,-1,-1,69.99486300909328,-1,-1,-1,-1,-1,-1
102,926,-1,-1,-1,63.582439392374596,-1,-1,-1,-1,-1,-1
103,1032,-1,-1,-1,61.467175649203874,-1,-1,-1,-1,-1,-1
103,1082,-1,-1,-1,56.796199974207966,-1,-1,-1,-1,-1,-1
104,1048,-1,-1,-1,56.35238673082079,-1,-1,-1,-1,-1,-1
105,946,-1,-1,-1,60.33842777141197,-1,-1,-1,-1,-1,-1
106,878,-1,-1,-1,65.88103849321203,-1,-1,-1,-1,-1,-1
107,904,-1,-1,-1,67.35440562823794,-1,-1,-1,-1,-1,-1
108,928,-1,-1,-1,65.51342691486116,-1,-1,-1,-1,-1,-1
109,849,-1,-1,-1,67.66327525283296,-1,-1,-1,-1,-1,-1
110,941,-1,-1,-1,67.21666672925201,-1,-1,-1,-1,-1,-1
111,1048,-1,-1,-1,60.5069318817889,-1,-1,-1,-1,-1,-1
112,939,-1,-1,-1,60.57483598761067,-1,-1,-1,-1,-1,-1
113,859,-1,-1,-1,66.87321240613389,-1,-1,-1,-1,-1,-1
114,878,-1,-1,-1,69.09289553726985,-1,-1,-1,-1,-1,-1
115,963,-1,-1,-1,65.32121289535124,-1,-1,-1,-1,-1,-1
116,865,-1,-1,-1,65.83472889993337,-1,-1,-1,-1,-1,-1
117,991,-1,-1,-1,64.95453299347305,-1,-1,-1,-1,-1,-1
117,1051,-1,-1,-1,58.816695646162756,-1,-1,-1,-1,-1,-1
117,1020,-1,-1,-1,57.95600828342755,-1,-1,-1,-1,-1,-1
118,870,-1,-1,-1,63.89452332657201,-1,-1,-1,-1,-1,-1
119,892,-1,-1,-1,68.11504561620535,-1,-1,-1,-1,-1,-1
121,964,1345.648812291961,300.0700461969817,4.484448978984749,64.75261894572316,69.00600472935314,83.99811357613281,57.09029188763066,36.07201657352913,76.784855172386,15.0
122,1057,1304.1037441693115,304.241107114732,4.286415325452791,59.50254576288486,69.02115751025153,83.99811357613281,57.0903033883876,36.43015942165732,77.95169127965428,15.0
123,956,1269.716515020164,309.80878532890404,4.098387699600538,59.7629669507527,68.87360354005195,83.99811357613281,57.090292405682675,36.1631153836935,77.84816025574536,15.5
124,848,1238.6327523095106,316.31587215097045,3.91580967431928,66.75811162864136,68.77124398270026,83.99811357613281,57.090248474905216,36.08650940691893,78.2652767210813,15.5
125,867,1209.0982080221547,320.50718560984126,3.7724527321331576,69.97943461513351,68.76321347508531,83.99811357613282,57.09019293986821,36.1386676562881,78.68085759827483,15.0
126,943,1187.3998683036223,325.55149656705544,3.647348824455635,66.41543773644446,68.84495585577565,83.99811357613282,57.09033384987433,36.07083353129944,77.54765210104152,15.0
127,1111,1179.4473418065963,328.63049598237376,3.588977152838112,58.81606188190399,68.7774170875624,83.99811357613282,57.09018465106598,36.97535294378383,78.62257334173654,15.0
128,969,1177.757809661427,332.8544593743999,3.538356709641275,57.962452592008425,68.76163797526576,83.99811357613281,57.09015812691503,37.029702098366755,78.92060400392373,15.0
129,973,1186.9095147771895,336.1255584363171,3.5311492535669924,61.79222919762377,68.78519989038453,83.99811357613281,57.09098038705529,36.99064106033759,78.80176256668622,14.5
130,1041,1204.2079927527357,335.4484873625965,3.5898447544676824,59.65092067967693,68.71461194383116,83.99811357613282,57.089972458548445,37.02658689513066,79.76961747366097,14.5
131,881,1236.2618210097019,334.657511397979,3.694110482819922,62.87065719790519,68.71892758601044,83.99811357613282,57.09071513926083,37.4522015329269,79.7242533361497,15.0
131,890,1276.4229100914654,335.5359642961977,3.8041314372032278,67.76007856240993,68.71525781431183,83.99811357613281,57.088911519620595,37.50447442751444,79.79922891269483,15.0
132,788,1325.590289779866,333.44397295325007,3.975451342063148,71.77893115838705,68.74488231938433,83.99811357613277,57.080001189166694,37.89522032852475,79.990367008507,15.0
133,810,1388.1692199483264,328.92582292594307,4.220310851850843,75.10810302688475,68.81109507716339,83.99811357613272,57.06558083547577,38.03750908660137,79.86900852401932,14.5
134,901,1464.4480914325738,324.44337853239574,4.513724699998303,70.33337443992272,68.9658349271038,83.99811357613322,57.19392314566577,37.68627165757595,78.46819616476749,14.5
135,844,1536.598076557455,316.19168844818256,4.859704200634838,68.84136109956815,68.95918655136164,83.99811357613305,57.14625870587535,37.62475950719712,78.57360405025756,15.0
136,963,1616.4366419428425,312.60064527413806,5.170931878676364,66.69767167176035,68.93147272092737,83.99811357613247,57.000356252226574,37.81804034051852,78.8515064289338,14.5
137,1093,1703.096227103943,303.2885115851986,5.615432705321962,58.600040472790596,68.93541430715308,83.9981135761342,57.443752991862134,38.842298388950034,78.98353181151661,14.5
139,1042,1794.188888657051,295.6944202830969,6.067713036111064,56.2381794458893,68.79808544315082,83.99811357612586,55.37609598523304,37.96171881243894,81.84529802660774,14.5
139,870,1898.7965771205052,285.43886840130585,6.652200479056476,63.27354556886624,68.79591275983533,83.99811357611463,52.816901408450704,38.656851193900984,82.78333700965774,14.5
140,872,2014.0245544389882,277.083720523844,7.2686498890347995,68.8864283454603,68.97220501015015,83.99811357615462,57.94323137295744,38.1225186256803,77.64315470973864,14.5
141,875,2109.0428516638863,265.85900129494155,7.932937539790625,68.68938401048493,68.96959108511163,83.99811357612255,57.443752991862134,37.97012662615658,78.35541871587944,14.5
141,869,2211.29177752169,257.10875623882083,8.600608590193971,68.808153871445,69.021967700807,83.99811357608746,56.33802816901409,38.036510083979415,77.93114791987,14.0
142,800,2317.1430410503,248.8090317901734,9.312937815715637,72.02243958573072,69.1626925712675,83.99811357621067,57.94323137295744,37.980155881164784,75.42637770547621,14.0
143,850,2403.430892331149,240.5087162161885,9.99311347273898,72.79411764705883,69.21779102524235,83.99811357604639,57.636887608069166,38.11720852705388,75.30600501015412,13.5
144,947,2488.900528031768,231.93120520363698,10.731201633029494,66.9731039194981,69.365385916007,83.99811357712105,57.94323137295744,37.78991937220567,73.12723175473174,13.5
145,971,2542.32213236156,225.1146593470098,11.293454365593405,62.574969794581406,69.32223266269195,83.99811357666928,57.94323137295744,37.87045082269207,73.46415694986155,13.5
146,844,2604.9317233137363,219.6885693032872,11.857383984860602,66.44100721882458,69.30473728654012,83.99811357486222,57.94323137295744,38.123129438806586,73.82659636332852,13.5
147,900,2653.9536928263224,215.46068204297896,12.317577702167144,68.87835703001579,69.39423131180851,83.99811357957152,57.94323137295744,37.84250277963349,72.93859367446302,14.0
148,986,2678.7362980898242,213.6922514864142,12.535486333532917,63.75929682217715,69.37140966224976,83.998113579462,57.94323137295744,38.04546263809468,73.14625342161726,13.5
149,946,2704.1108682351814,209.9805998143957,12.877908104964822,62.1384370617825,69.3597454244955,83.99811358384275,57.94323137295744,38.01305155892759,73.3692915700644,13.5
150,862,2713.414740622027,211.15797568821165,12.850164583072905,66.5152577956765,69.38399036600698,83.99811361100336,57.94323137295744,38.16692592250949,73.56806801676964,14.0
150,905,2717.8089344743457,210.73675110827224,12.896701311856093,67.95195549345605,69.28161607869184,83.99811353390226,57.94323137295744,38.07635073275722,73.45978798016752,13.5
151,938,2696.427350923567,213.58519674453726,12.624598483520753,65.13211370142186,69.2762958416937,83.99811354441604,57.94323137295744,38.084216701045435,73.5310381923441,13.5
152,805,2678.405176054402,215.72586756091977,12.415781224280096,69.25002317604523,69.35538914275463,83.99811386333425,57.94323137295744,38.092651455891584,73.99824029293102,13.5
153,845,2640.36809788917,220.57684448817798,11.97028683593614,72.77003932522328,69.34875120809048,83.99811409463757,57.94323137295744,38.09976607827857,74.07260166517177,13.5
154,889,2601.8169057279993,226.6574387691553,11.479071323919273,69.2487403571595,69.27838281338595,83.99811394043536,57.94323137295744,38.1102279045258,73.51829922471065,13.5
155,961,2558.022024001898,234.04519402465814,10.929607141313033,64.96326356708013,69.16305168419066,83.9981123703765,57.94323137295744,38.248657024799975,72.94772723622152,13.5
156,843,2508.4559057225542,241.3721957334175,10.39248078305178,66.80467040190193,69.15657444413564,83.99811377221477,57.94323137295744,38.354589660802695,73.03204897428924,14.0
156,879,2439.759905153748,250.38073336529354,9.744199852607089,69.71688144486416,69.09230400846765,83.9981092863325,57.94323137295744,38.41172237826535,72.65179551556777,13.5
157,865,2367.742333331783,263.06970608603314,9.000437064986293,68.81177375761999,69.15709529696086,83.99813261292556,57.94323137295744,38.19822348332394,73.59230169252551,13.5
158,766,2301.0589815645462,273.7496227871924,8.405706492437233,73.8465717864743,69.11922446235653,83.99813844457586,57.94323137295744,38.50293339443056,73.12988538562253,13.5
159,763,2231.6545597194568,284.9653961444228,7.8313177316042815,78.48297054707096,69.0211512877205,83.99805590437018,57.94323137295744,38.25241035399132,72.07009319233663,13.5
160,793,2158.4086987470696,296.74801891111287,7.273540381725661,77.14950112303097,69.05058539912395,83.99806667047477,57.94323137295744,38.26110304722433,72.33998729807846,13.5
161,752,2073.600470610546,310.27729687198587,6.683055742444706,77.72463845885541,69.0480644623271,83.99782622812984,57.94323137295744,38.224378920123165,72.7157615891183,14.0
161,775,1991.1513983632794,327.1619321794724,6.086134120491092,78.60329444063143,69.10096505177118,83.99755348922577,57.94323137295744,38.347370712779686,73.22225045525772,13.5
162,855,1899.0800896420637,344.0976618527388,5.519014803578644,73.79739671760046,69.22655478844825,83.99885978110258,57.94323137295744,37.95963380479386,73.70988208564464,13.5
163,885,1830.0860630633651,357.08233342197235,5.125109510530477,68.98602438299139,69.28807402173223,84.00144377481487,57.94323137295744,37.77741515555469,74.68561791716373,13.5
163,797,1767.6638356000967,369.942639622385,4.778210582603889,71.53945941347851,69.25662160851884,84.00293682142403,57.94323137295744,37.84134847810704,74.4076710669189,14.0
164,726,1711.3543972614975,383.3614415203981,4.4640754439839485,78.96346837831953,69.20620021738804,84.00144377481487,57.94323137295744,38.05567127497893,73.60515443385282,14.0
165,706,1660.2125500982906,395.9102025317211,4.193406836908355,83.81523189661227,69.18280536536943,83.99547211908109,57.94323137295744,38.15846246662055,73.23622597374204,13.5
166,710,1615.8924185711421,407.0450955813875,3.969811787716403,84.74643897378606,69.21409518970954,83.99685011812058,57.94323137295744,38.17808525399542,73.74665815855973,13.5
166,776,1579.6050131658685,417.49350879076667,3.7835438872835554,80.91331494119355,69.2524950441413,84.03361344537815,57.94323137295744,38.23538343862301,74.37718914573914,13.5
167,889,1551.5341962611137,427.96456119909203,3.6253800826730824,72.40557559171083,69.15330608337307,83.97480755773267,57.94323137295744,38.648543917987205,72.94520437285227,13.5
168,904,1532.8274702406634,436.80232357047805,3.5092017316005455,66.93162248524244,69.06674696547215,83.91608391608392,57.94323137295744,38.81452205964398,72.00436474144978,13.5
169,912,1524.266667416121,444.14668255100366,3.4318992515295474,66.08057755006986,68.98102099835505,83.82815228780998,57.94323137295744,38.88841223348125,71.2750449353356,13.0
170,919,1525.770782800644,448.9531988237769,3.398507431950695,65.53891529694748,68.94627937866021,84.59640465280225,57.94323137295744,38.82872014522687,71.57739563323443,13.0
171,795,1535.8578793284773,455.24299785165954,3.3737100550175514,70.380027511446,68.88297068778706,85.71428571428571,57.94323137295744,39.125252407033685,70.896676107791,13.5
172,768,1552.7725142170152,460.09871076707304,3.3748682138844615,76.79834905660377,68.79557865452742,85.1063829787234,57.94323137295744,39.26163524853037,69.43623077451814,13.5
172,768,1578.2283662885613,460.45878801882327,3.4275127489238937,78.125,68.68456285729076,82.73988856574061,57.94323137295744,39.02910333777427,67.6170012476459,13.5
173,722,1617.6721685575153,462.8711415449796,3.494865035564801,80.61374653739612,68.67101920103909,82.73988856574061,57.94323137295744,39.00799927908816,67.57005920134208,13.5
174,697,1670.7967004646944,463.1189129740119,3.607705610067477,84.59285342405323,68.7273969036839,82.73988856574061,57.94323137295744,39.06584637388655,68.52182406960571,13.5
176,712,1731.2297738722887,457.95984512322394,3.7803091085561533,85.17643834733126,68.73331781157079,83.44565560556624,57.94323137295744,38.53935011119582,70.12643122413819,13.5
175,761,1809.9386664125782,457.4005884033445,3.9570099215013252,81.55664486409071,68.8250453074713,83.44565560556624,57.94323137295744,38.62520206977657,71.44175871739651,13.0
